index	WEO_Subject_Code	ISO	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates_Start_After
0	NGDP_R	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	182.842	198.736	200.069	223.737	235.731	267.177	277.498	334.621	362.857	386.368	440.336	457.654	463.52	467.035	476.376	490.667	507.84	528.154	551.921	579.517	611.39	2014
1	NGDP_RPCH	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.692	0.671	11.83	5.361	13.34	3.863	20.585	8.438	6.479	13.968	3.933	1.282	0.758	2	3	3.5	4	4.5	5	5.5	2014
2	NGDP	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	178.756	220.013	246.21	304.926	345.817	427.495	517.509	607.227	711.759	836.222	1,033.59	1,116.83	1,167.91	1,203.67	1,281.66	1,399.43	1,535.31	1,692.57	1,874.47	2,085.38	2,330.54	2014
3	NGDPD	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.367	4.514	5.146	6.167	6.925	8.556	10.297	12.066	15.325	17.89	20.296	20.17	20.352	19.687	18.886	20.57	21.706	23.233	24.93	26.857	29.113	2014
4	NGDP_D	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	97.765	110.706	123.063	136.288	146.7	160.005	186.491	181.467	196.154	216.432	234.728	244.033	251.964	257.726	269.044	285.209	302.321	320.469	339.627	359.848	381.188	2014
5	NGDPRPC	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8,235.10	8,597.26	8,329.72	8,999.55	9,197.00	10,139.83	10,265.45	12,076.60	12,777.66	13,274.74	14,764.22	14,980.49	14,819.12	14,591.65	14,262.74	13,333.34	13,775.05	14,300.19	14,916.78	15,447.93	16,077.20	2013
6	NGDPPC	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8,051.07	9,517.72	10,250.79	12,265.32	13,491.99	16,224.19	19,144.18	21,915.08	25,063.88	28,730.76	34,655.74	36,557.35	37,338.91	37,606.49	38,373.03	38,027.88	41,644.85	45,827.64	50,661.36	55,589.01	61,284.31	2013
7	NGDPDPC	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	196.683	195.27	214.23	248.049	270.189	324.705	380.91	435.472	539.667	614.661	680.5	660.221	650.663	615.091	565.438	558.968	588.776	629.054	673.78	715.908	765.565	2013
8	NGAP_NPGDP	AFG																																												
9	PPPGDP	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18.768	20.806	21.522	24.842	26.978	31.39	33.242	40.39	44.333	48.18	55.921	59.059	60.887	62.009	64.081	67.462	71.386	75.87	80.883	86.647	93.315	2014
10	PPPPC	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	845.295	900.066	896.036	999.238	1,052.54	1,191.32	1,229.74	1,457.69	1,561.15	1,655.36	1,875.02	1,933.21	1,946.62	1,937.36	1,918.60	1,833.20	1,936.32	2,054.23	2,186.02	2,309.72	2,453.82	2013
11	PPPSH	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.034	0.036	0.034	0.037	0.037	0.039	0.04	0.048	0.05	0.051	0.056	0.056	0.055	0.054	0.053	0.053	0.053	0.053	0.054	0.055	0.055	2011
12	PPPEX	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9.525	10.574	11.44	12.275	12.819	13.619	15.568	15.034	16.055	17.356	18.483	18.91	19.181	19.411	20.001	20.744	21.507	22.309	23.175	24.067	24.975	2014
13	NID_NGDP	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	27.243	30.36	35.354	37.051	29.492	55.856	30.226	36.67	30.402	26.582	25.337	23.093	17.618	18.602	18.721	18.508	18.056	18.346	18.635	18.556	18.235	2014
14	NGSD_NGDP	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	55.078	50.534	61.023	54.617	31.539	92.62	32.939	49.739	37.133	31.758	30.659	31.64	19.865	21.466	25.801	23.04	20.322	20.174	19.701	18.791	16.986	2014
15	PCPI	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	31.263	42.413	49.351	54.566	58.269	63.327	80.057	74.604	76.229	85.227	90.717	97.417	101.97	100.391	104.792	111.079	117.744	124.809	132.297	140.235	148.649	2015
16	PCPIPCH	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	35.663	16.358	10.569	6.785	8.681	26.419	-6.811	2.179	11.804	6.441	7.386	4.674	-1.549	4.384	6	6	6	6	6	6	2015
